Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
james landay,University of Washington,<a href='http://homes.cs.washington.edu/~landay'>http://homes.cs.washington.edu/~landay</a>,B.S. in EECS from UC Berkeley,Ph.D. in CS from Carnegie Mellon University,2013,M.S. from Carnegie Mellon University,,Full,Computer Education,http://homes.cs.washington.edu/~landay/research/cv.pdf,,
jeffrey heer,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/jheer'>http://www.cs.washington.edu/people/faculty/jheer</a>,"University of California, Berkeley","University of California, Berkeley",2009,"University of California, Berkeley",,Full,Data Mining,,,
jeffrey r. n. forbes,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=565'>http://www.cs.duke.edu/people/faculty/?csid=565</a>,Stanford University,University of California-Berkeley,2001,None,n/a,Associate,Computer Education,http://www.cs.duke.edu/~forbes/,,
john clark,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac</a>,Oxon,Ebor,1992,Oxon,,Full,Security & Privacy,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac,,
john zahorjan,University of Washington,<a href='http://homes.cs.washington.edu/~zahorjan/homepage'>http://homes.cs.washington.edu/~zahorjan/homepage</a>,Brown University,University of Toronto,,,,Full,Algorithms & Theory,,,
jonathan appavoo,Boston University,<a href='http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html'>http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html</a> or <a href='http://www.cs.bu.edu/fac/jappavoo'>http://www.cs.bu.edu/fac/jappavoo</a>,"McMaster University, Hamilton, Ontario, Canada","University of Toronto, Toronto, Ontario, Canada",2009,"University of Toronto, Toronto, Ontario, Canada",,Assistant,Scientific Computing,,,
jungsang kim,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3791'>http://www.cs.duke.edu/people/faculty/?csid=3791</a>,Seoul National University,Stanford University,,,,Associate,Real-Time & Embedded Systems,http://fds.duke.edu/db/pratt/ECE/jungsang,,
kamesh munagala,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1459'>http://www.cs.duke.edu/people/faculty/?csid=1459</a>,Indian Institute of Technology Bombay,Stanford University,2004,Stanford University,Stanford University School of Medicine,Associate,Algorithms & Theory,http://www.cs.duke.edu/~kamesh/,,
lakshminarayanan subramanian,New York University,<a href='http://cs.nyu.edu/~lakshmi/Home.html'>http://cs.nyu.edu/~lakshmi/Home.html</a>,University of California at Berkeley,University of California at Berkeley,2012,University of California at Berkeley,"ndian Institute of Technology, Madras",Associate,Networks & Communications,http://cs.nyu.edu/~lakshmi/Lakshmi/Home.html,,
landon cox,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=204'>http://www.cs.duke.edu/people/faculty/?csid=204</a>,Duke University,University of Michigan,,,,Assistant,Security & Privacy,,,
lars arge,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=9'>http://www.cs.duke.edu/people/faculty/?csid=9</a>,"University of Aarhus, Denmark, 1990","University of Aarhus, Denmark, 1996",Jan-07,"University of Aarhus, Denmark, 1993",,Full,Algorithms & Theory,,,
luis ceze,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/luisceze'>http://www.cs.washington.edu/people/faculty/luisceze</a>,"University of SÃ£o Paulo,",University of Illinois,2007,"University of SÃ£o Paulo,",,Associate,Hardware & Architecture,,,
magdalena balazinska,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/magda'>http://www.cs.washington.edu/people/faculty/magda</a>,,MIT,,,,Associate,Scientific Computing,,,
michael overton,New York University,<a href='http://cs.nyu.edu/cs/faculty/overton'>http://cs.nyu.edu/cs/faculty/overton</a>,University of British Columbia,Stanford University,,Stanford University,,Full,Computer Education,,,
mike dodds,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked</a>,,,,,,Lecturer,Algorithms & Theory,http://www-users.cs.york.ac.uk/~miked/,,
mike scott,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~scottm'>http://www.cs.utexas.edu/~scottm</a>,Stanford University,,2007,Rennselaer Polytechnic Institute,,Lecturer,Computer Education,http://www.cs.utexas.edu/~scottm/cv.pdf,,
mohamed zahran,New York University,<a href='http://www.mzahran.com'>http://www.mzahran.com</a>,Cairo University,University of Maryland at College Park,2010,Cairo University,,Associate,Hardware & Architecture,http://www.mzahran.com/cv.pdf,,
raluca-mihaela gordan,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1579'>http://www.cs.duke.edu/people/faculty/?csid=1579</a>,N/A,Duke University,2011,N/A,Harvard Medical School,Assistant,Bioinformatics & Computational Biology,,,
richard anderson,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/anderson'>http://www.cs.washington.edu/people/faculty/anderson</a>,Reed College,Stanford University,1986,,"Mathematical Sciences Research Institute in Berkeley, CA",Full,Computer Education,,,
richard paige,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige</a>,McMaster University,University of Toronto,2001,University of Toronto,,Full,Software Engineering,http://www-users.cs.york.ac.uk/~paige/,,
richard west,Boston University,<a href='http://www.cs.bu.edu/fac/richwest'>http://www.cs.bu.edu/fac/richwest</a>,University of Newcastle-upon-Tyne,"Georgia Institute of Technology, Atlanta, Georgia.",Sep-06,"Georgia Institute of Technology, Atlanta, Georgia.",,Associate,Real-Time & Embedded Systems,http://www.cs.bu.edu/fac/richwest/vita.html,,
robert s. boyer,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~boyer'>http://www.cs.utexas.edu/~boyer</a>,,,1981,,,Other,Algorithms & Theory,http://www.cs.utexas.edu/~boyer/employment.html,,
ronald e. parr,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=442'>http://www.cs.duke.edu/people/faculty/?csid=442</a>,Princeton University,University of California,2013,,,Full,Artificial Intelligence,,,
shayan oveis gharan,University of Washington,<a href='http://www.stanford.edu/~shayan/about_me.html'>http://www.stanford.edu/~shayan/about_me.html</a>,,,Huang Engineering Center,,,Other,Software Engineering,http://www.stanford.edu/search/?cx=003265255082301896483%3Asq5n7qoyfh8&cof=FORID%3A9&ie=UTF-8&q=shayan+oveis+gharan&sa=Search,,
shivnath babu,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1492'>http://www.cs.duke.edu/people/faculty/?csid=1492</a>,2008,Stanford University,2011,Institute of Technology Madras,2011,Assistant,Computer Education,http://www.cs.duke.edu/~shivnath/publications.html,,
subhash khot,New York University,<a href='http://cs.nyu.edu/~khot'>http://cs.nyu.edu/~khot</a>,Indian Institute of Technology Bombay,Princeton CS Department,2008,none,,Associate,Algorithms & Theory,http://cs.nyu.edu/~khot/publications.html http://en.wikipedia.org/wiki/Subhash_Khot,,
susan worst,Boston University,<a href='http://cs-people.bu.edu/sworst'>http://cs-people.bu.edu/sworst</a>,Washington University,,2010,Northwestern University,,Lecturer,Computer Education,,,
thomas wies,New York University,<a href='http://cs.nyu.edu/wies'>http://cs.nyu.edu/wies</a>,,"University of Freiburg, Freiburg, Germany",2011,"Saarland University, Saarbrucken, Germany","Ecole Polytechnique Federale de Lausanne, Switzerland; Institute of Science and Technology, Klosterneuburg, Austria",Assistant,Software Engineering,http://cs.nyu.edu/wies/cv_wies.pdf,,
william d. (bill) young,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~byoung'>http://www.cs.utexas.edu/~byoung</a>,University of Texas at Austin,University of Texas at Austin,2001,University of Texas at Austin,,Lecturer,Security & Privacy,,,
william h. press,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/press'>http://www.cs.utexas.edu/faculty/press</a> or <a href='http://nr.com/whp'>http://nr.com/whp</a>,Harvard College,California Insitute of Technology,2007,California Insitute of Technology,,Full,Bioinformatics & Computational Biology,http://nr.com/whp/background.html,,
william smith,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wsmith'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wsmith</a>,"University of York,",University of York,2007,,,Lecturer,Data Mining,http://www-users.cs.york.ac.uk/~wsmith/index.html,,
zachary tatlock,University of Washington,<a href='http://homes.cs.washington.edu/~ztatlock'>http://homes.cs.washington.edu/~ztatlock</a>,Perdue,"University of California, San Diego",2013,,University of Washington,Assistant,Scientific Computing,http://www.linkedin.com/pub/zachary-tatlock/63/66/522,,
zoran popovic,University of Washington,<a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>,Brown University,Carnegie Mellon University,1999,Carnegie Mellon University,,Full,Graphics,,,
zvi kedem,New York University,<a href='http://cs.nyu.edu/cs/faculty/kedem'>http://cs.nyu.edu/cs/faculty/kedem</a>,the Technion â€“ Israel Institute of Technology,the Technion â€“ Israel Institute of Technology,1984,,MIT,Full,Scientific Computing,http://www.linkedin.com/in/zvikedem,,
