ali farhadi , University of Washington , http://www.cs.washington.edu/people/faculty/ali
allison obourn , University of Washington , http://homes.cs.washington.edu/~aeobourn
anna r. karlin , University of Washington , http://www.cs.washington.edu/people/faculty/karlin
anup rao , University of Washington , http://www.cs.washington.edu/people/faculty/anuprao
arvind krishnamurthy , University of Washington , http://www.cs.washington.edu/people/faculty/arvind
barbara mones , University of Washington , http://www.cs.washington.edu/people/faculty/mones
brian curless , University of Washington , http://www.cs.washington.edu/people/faculty/curless
carlos guestrin , University of Washington , http://www.cs.washington.edu/people/faculty/guestrin
dan grossman , University of Washington , http://www.cs.washington.edu/people/faculty/djg
dan suciu , University of Washington , http://www.cs.washington.edu/people/faculty/suciu
dan weld , University of Washington , http://www.cs.washington.edu/people/faculty/weld
david wetherall , University of Washington , http://djw.cs.washington.edu
dieter fox , University of Washington , http://www.cs.washington.edu/people/faculty/fox
ed lazowska , University of Washington , http://www.cs.washington.edu/people/faculty/lazowska
emanuel todorov , University of Washington , http://homes.cs.washington.edu/~todorov
gaetano borriello , University of Washington , http://www.cs.washington.edu/people/faculty/gaetano
georg seelig , University of Washington , http://homes.cs.washington.edu/~seelig
hal perkins , University of Washington , http://www.cs.washington.edu/people/faculty/perkins
henry m. levy , University of Washington , http://www.cs.washington.edu/people/faculty/levy
hélène martin , University of Washington , http://homes.cs.washington.edu/~ln
ira kemelmacher-shlizerman , University of Washington , http://www.cs.washington.edu/people/faculty/kemelmi
james a. landay , University of Washington , http://homes.cs.washington.edu/~landay
james fogarty , University of Washington , http://www.cs.washington.edu/people/faculty/jfogarty
james lee , University of Washington , http://www.cs.washington.edu/people/faculty/jrl
jeffrey heer , University of Washington , http://www.cs.washington.edu/people/faculty/jheer
john zahorjan , University of Washington , http://homes.cs.washington.edu/~zahorjan/homepage
joshua smith , University of Washington , http://www.cs.washington.edu/people/faculty/jrs
larry ruzzo , University of Washington , http://www.cs.washington.edu/people/faculty/ruzzo
larry snyder , University of Washington , http://www.cs.washington.edu/people/faculty/snyder
linda shapiro , University of Washington , http://homes.cs.washington.edu/~shapiro
luis ceze , University of Washington , http://www.cs.washington.edu/people/faculty/luisceze
luke zettlemoyer , University of Washington , http://www.cs.washington.edu/people/faculty/lsz
magdalena balazinska , University of Washington , http://www.cs.washington.edu/people/faculty/magda
mark oskin , University of Washington , http://www.cs.washington.edu/people/faculty/oskin
martin tompa , University of Washington , http://www.cs.washington.edu/people/faculty/tompa
matthew s. reynolds , University of Washington , http://fds.duke.edu/db/pratt/ECE/matt.reynolds
maya cakmak , University of Washington , http://www.mayacakmak.com/home
michael ernst , University of Washington , http://www.cs.washington.edu/people/faculty/mernst
oren etzioni , University of Washington , http://homes.cs.washington.edu/~etzioni
paul beame , University of Washington , http://www.cs.washington.edu/people/faculty/beame
pedro domingos , University of Washington , http://www.cs.washington.edu/people/faculty/pedrod
rajesh rao , University of Washington , http://www.cs.washington.edu/people/faculty/rao
richard anderson , University of Washington , http://www.cs.washington.edu/people/faculty/anderson
richard ladner , University of Washington , http://www.cs.washington.edu/people/faculty/ladner
ruth e. anderson , University of Washington , http://homes.cs.washington.edu/~rea
shwetak n. patel , University of Washington , http://abstract.cs.washington.edu/~shwetak
shyam gollakota , University of Washington , http://www.cs.washington.edu/people/faculty/gshyam
steve tanimoto , University of Washington , http://www.cs.washington.edu/people/faculty/tanimoto
steven d. gribble , University of Washington , http://homes.cs.washington.edu/~gribble
steven seitz , University of Washington , http://www.cs.washington.edu/people/faculty/seitz
su-in lee , University of Washington , http://suinlee.cs.washington.edu
susan eggers , University of Washington , http://www.cs.washington.edu/people/faculty/eggers
tadayoshi kohno , University of Washington , http://homes.cs.washington.edu/~yoshi
tadayoshi kohno (yoshi kohno) , University of Washington , http://homes.cs.washington.edu/~yoshi
tom anderson , University of Washington , http://www.cs.washington.edu/people/faculty/tom
tom daniel , University of Washington , http://www.cs.washington.edu/people/faculty/danielt
zachary tatlock , University of Washington , http://homes.cs.washington.edu/~ztatlock
zoran popovic , University of Washington , http://homes.cs.washington.edu/~zoran
zoran popović , University of Washington , http://homes.cs.washington.edu/~zoran
Not a url: Claudio T. Silva
adam meyers , New York University , http://nlp.cs.nyu.edu/people/meyers.html
alan siegel , New York University , http://cs.nyu.edu/cs/faculty/siegel
alexander tuzhilin , New York University , http://people.stern.nyu.edu/atuzhili
allan gottlieb , New York University , http://cs.nyu.edu/~gottlieb
amos bloomberg , New York University , http://cs.nyu.edu/~amos
andrew i. case , New York University , http://cs.nyu.edu/~acase
assaf naor , New York University , http://math.nyu.edu/~naor
benjamin goldberg , New York University , http://cs.nyu.edu/cs/faculty/goldberg
bhubaneswar mishra , New York University , http://cs.nyu.edu/cs/faculty/mishra
bud mishra , New York University , http://cs.nyu.edu/cs/faculty/mishra
chee k. yap , New York University , http://cs.nyu.edu/cs/faculty/yap
chee yap , New York University , http://cs.nyu.edu/cs/faculty/yap
christoph bregler , New York University , http://cs.nyu.edu/~bregler
clark barrett , New York University , http://cs.nyu.edu/~barrett
clark w. barrett , New York University , http://cs.nyu.edu/~barrett
craig kapp , New York University , http://cims.nyu.edu/~kapp
davi geiger , New York University , http://cs.nyu.edu/cs/faculty/geiger
david sontag , New York University , http://www.cs.nyu.edu/~dsontag
deena engel , New York University , http://cs.nyu.edu/~deena
denis zorin , New York University , http://mrl.nyu.edu/~dzorin
dennis shasha , New York University , http://cs.nyu.edu/cs/faculty/shasha
eran fishler , New York University , http://cs.nyu.edu/~fishler
eric koskinen , New York University , http://cs.nyu.edu/~ejk
ernest davis , New York University , http://cs.nyu.edu/cs/faculty/davise
evan korth , New York University , http://cs.nyu.edu/~korth
foster provost , New York University , http://people.stern.nyu.edu/fprovost
helen nissenbaum , New York University , http://www.nyu.edu/projects/nissenbaum
jean-claude franchitti , New York University , http://cs.nyu.edu/~jcf/JCF
jiawei zhang , New York University , http://pages.stern.nyu.edu/~jzhang
jinyang li , New York University , http://www.news.cs.nyu.edu/~jinyang
jinyang li 李金扬 , New York University , http://www.news.cs.nyu.edu/~jinyang
joanna klukowska , New York University , http://cs.nyu.edu/~joannakl
joel spencer , New York University , http://cs.nyu.edu/cs/faculty/spencer
joshua clayton , New York University , http://cs.nyu.edu/cs/faculty/clayton
juliana freire , New York University , http://vgc.poly.edu/~juliana
keith w. ross , New York University , http://cis.poly.edu/~ross
