27Url,http://www.cs.washington.edu/people/faculty/bruceh/,http://homes.cs.washington.edu/~landay/,http://www.cs.washington.edu/people/faculty/karlin/
28Name,Anna Karlin,Su-In Lee,Ted Kehl
28Url,http://www.cs.washington.edu/people/faculty/karlin/,http://suinlee.cs.washington.edu/,https://homes.cs.washington.edu/~ted/
29Name,Ted Kehl,Barbara Mones,Ira Kemelmacher-Shlizerman
29Url,https://homes.cs.washington.edu/~ted/,http://www.cs.washington.edu/people/faculty/mones/,http://www.cs.washington.edu/people/faculty/kemelmi/
30Name,Ira Kemelmacher-Shlizerman,Shwetak Patel,Tadayoshi Kohno
30Url,http://www.cs.washington.edu/people/faculty/kemelmi/,http://abstract.cs.washington.edu/~shwetak/,http://homes.cs.washington.edu/~yoshi/
31Name,Tadayoshi Kohno,Zoran Popović,Arvind Krishnamurthy
31Url,http://homes.cs.washington.edu/~yoshi/,https://homes.cs.washington.edu/~zoran/,https://www.cs.washington.edu/people/faculty/arvind/
32Name,Arvind Krishnamurthy,Anup Rao,Richard Ladner
32Url,https://www.cs.washington.edu/people/faculty/arvind/,https://www.cs.washington.edu/people/faculty/anuprao/,http://www.cs.washington.edu/people/faculty/ladner/
33Name,Richard E. Ladner,Steven Seitz,James A. Landay
33Url,http://www.cs.washington.edu/people/faculty/ladner/,http://www.cs.washington.edu/people/faculty/seitz/,http://homes.cs.washington.edu/~landay/
34Name,James Landay,Linda Shapiro,Ed Lazowska
34Url,http://homes.cs.washington.edu/~landay/,http://homes.cs.washington.edu/~shapiro/,http://www.cs.washington.edu/people/faculty/lazowska/
35Name,Ed Lazowska,Larry Snyder,James Lee
35Url,http://www.cs.washington.edu/people/faculty/lazowska/,http://www.cs.washington.edu/people/faculty/snyder,http://www.cs.washington.edu/people/faculty/jrl/
36Name,James Lee,Dan Suciu,SU-IN LEE
36Url,http://www.cs.washington.edu/people/faculty/jrl/,http://www.cs.washington.edu/people/faculty/suciu/,http://suinlee.cs.washington.edu/
37Name,Su-In Lee,Zachary Tatlock,Henry M. Levy
37Url,http://suinlee.cs.washington.edu/,http://homes.cs.washington.edu/~ztatlock/,http://www.cs.washington.edu/people/faculty/levy/
38Name,Hank Levy,Martin Tompa,
38Url,http://www.cs.washington.edu/people/faculty/levy/,http://www.cs.washington.edu/people/faculty/tompa/,
39Name,Hélène Martin,Dan Weld,
39Url,http://homes.cs.washington.edu/~ln/,http://www.cs.washington.edu/people/faculty/weld/,
40Name,Barbara Mones,David Wetherall,
40Url,http://www.cs.washington.edu/people/faculty/mones/,http://djw.cs.washington.edu/,
41Name,Allison Obourn,Luke Zettlemoyer,
41Url,http://homes.cs.washington.edu/~aeobourn/,http://www.cs.washington.edu/people/faculty/lsz/,
42Name,Mark Oskin,,
42Url,http://www.cs.washington.edu/people/faculty/oskin/,,
43Name,Shayan Oveis Gharan,,
43Url,http://www.stanford.edu/~shayan/about_me.html,,
44Name,Shwetak Patel,,
44Url,http://abstract.cs.washington.edu/~shwetak/,,
45Name,Hal Perkins,,
45Url,http://www.cs.washington.edu/people/faculty/perkins/,,
