professor, university, urls
"matthew s. reynolds", "University of Washington", <a href='http://fds.duke.edu/db/pratt/ECE/matt.reynolds'>http://fds.duke.edu/db/pratt/ECE/matt.reynolds</a>
"maya cakmak", "University of Washington", <a href='http://www.mayacakmak.com/home'>http://www.mayacakmak.com/home</a>
"michael ernst", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/mernst'>http://www.cs.washington.edu/people/faculty/mernst</a>
"oren etzioni", "University of Washington", <a href='http://homes.cs.washington.edu/~etzioni'>http://homes.cs.washington.edu/~etzioni</a>
"paul beame", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/beame'>http://www.cs.washington.edu/people/faculty/beame</a>
"pedro domingos", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/pedrod'>http://www.cs.washington.edu/people/faculty/pedrod</a>
"rajesh rao", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/rao'>http://www.cs.washington.edu/people/faculty/rao</a>
"richard anderson", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/anderson'>http://www.cs.washington.edu/people/faculty/anderson</a>
"richard e. ladner", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/ladner'>http://www.cs.washington.edu/people/faculty/ladner</a>
"richard ladner", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/ladner'>http://www.cs.washington.edu/people/faculty/ladner</a>
"ruth e. anderson", "University of Washington", <a href='http://homes.cs.washington.edu/~rea'>http://homes.cs.washington.edu/~rea</a>
"shayan oveis gharan", "University of Washington", <a href='http://www.stanford.edu/~shayan/about_me.html'>http://www.stanford.edu/~shayan/about_me.html</a>
"shwetak n. patel", "University of Washington", <a href='http://abstract.cs.washington.edu/~shwetak'>http://abstract.cs.washington.edu/~shwetak</a>
"shwetak patel", "University of Washington", <a href='http://abstract.cs.washington.edu/~shwetak'>http://abstract.cs.washington.edu/~shwetak</a>
"shyam gollakota", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/gshyam'>http://www.cs.washington.edu/people/faculty/gshyam</a>
"steve gribble", "University of Washington", <a href='http://homes.cs.washington.edu/~gribble'>http://homes.cs.washington.edu/~gribble</a>
"steve tanimoto", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/tanimoto'>http://www.cs.washington.edu/people/faculty/tanimoto</a>
"steven d. gribble", "University of Washington", <a href='http://homes.cs.washington.edu/~gribble'>http://homes.cs.washington.edu/~gribble</a>
"steven seitz", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/seitz'>http://www.cs.washington.edu/people/faculty/seitz</a>
"stuart reges", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/reges'>http://www.cs.washington.edu/people/faculty/reges</a>
"su-in lee", "University of Washington", <a href='http://suinlee.cs.washington.edu'>http://suinlee.cs.washington.edu</a>
"susan eggers", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/eggers'>http://www.cs.washington.edu/people/faculty/eggers</a>
"tadayoshi kohno", "University of Washington", <a href='http://homes.cs.washington.edu/~yoshi'>http://homes.cs.washington.edu/~yoshi</a>
"tadayoshi kohno (yoshi kohno)", "University of Washington", <a href='http://homes.cs.washington.edu/~yoshi'>http://homes.cs.washington.edu/~yoshi</a>
"ted kehl", "University of Washington", <a href='http://homes.cs.washington.edu/~ted'>http://homes.cs.washington.edu/~ted</a>
"tom anderson", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/tom'>http://www.cs.washington.edu/people/faculty/tom</a>
"tom daniel", "University of Washington", <a href='http://www.cs.washington.edu/people/faculty/danielt'>http://www.cs.washington.edu/people/faculty/danielt</a>
"zachary tatlock", "University of Washington", <a href='http://homes.cs.washington.edu/~ztatlock'>http://homes.cs.washington.edu/~ztatlock</a>
"zoran popovic", "University of Washington", <a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>
"zoran popović", "University of Washington", <a href='http://homes.cs.washington.edu/~zoran'>http://homes.cs.washington.edu/~zoran</a>
"adam klivans", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/klivans'>http://www.cs.utexas.edu/faculty/klivans</a> or <a href='http://www.cs.utexas.edu/~klivans'>http://www.cs.utexas.edu/~klivans</a>
"ajay bhargava", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~abhargav'>http://www.cs.utexas.edu/~abhargav</a>
"alan k. cline", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/cline'>http://www.cs.utexas.edu/faculty/cline</a>
"alison n. norman", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~ans'>http://www.cs.utexas.edu/~ans</a>
"aloysius k. mok", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~mok/mok.html'>http://www.cs.utexas.edu/~mok/mok.html</a> or <a href='http://www.cs.utexas.edu/faculty/mok'>http://www.cs.utexas.edu/faculty/mok</a>
"anna gal", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/panni'>http://www.cs.utexas.edu/users/panni</a>
"anna gál", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/g%C3%A1l'>http://www.cs.utexas.edu/faculty/g%C3%A1l</a> or <a href='http://www.cs.utexas.edu/users/panni'>http://www.cs.utexas.edu/users/panni</a>
"bill press", "University of Texas—Austin", <a href='http://nr.com/whp'>http://nr.com/whp</a>
"brent waters", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/waters'>http://www.cs.utexas.edu/faculty/waters</a> or <a href='http://www.cs.utexas.edu/~bwaters'>http://www.cs.utexas.edu/~bwaters</a>
"bruce w. porter", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/porter'>http://www.cs.utexas.edu/faculty/porter</a> or <a href='http://www.cs.utexas.edu/~porter'>http://www.cs.utexas.edu/~porter</a>
"c. greg plaxton", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~plaxton'>http://www.cs.utexas.edu/~plaxton</a> or <a href='http://www.cs.utexas.edu/faculty/plaxton'>http://www.cs.utexas.edu/faculty/plaxton</a>
"calvin lin", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/lin'>http://www.cs.utexas.edu/faculty/lin</a> or <a href='http://www.cs.utexas.edu/~lin'>http://www.cs.utexas.edu/~lin</a>
"chandrajit bajaj", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/bajaj'>http://www.cs.utexas.edu/faculty/bajaj</a> or <a href='http://www.cs.utexas.edu/users/bajaj/cvc/index.shtml'>http://www.cs.utexas.edu/users/bajaj/cvc/index.shtml</a>
"dana ballard", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~dana'>http://www.cs.utexas.edu/~dana</a>
"dana h. ballard", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~dana'>http://www.cs.utexas.edu/~dana</a> or <a href='http://www.cs.utexas.edu/faculty/ballard'>http://www.cs.utexas.edu/faculty/ballard</a>
"daniel p. miranker", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~miranker'>http://www.cs.utexas.edu/~miranker</a> or <a href='http://www.cs.utexas.edu/faculty/miranker'>http://www.cs.utexas.edu/faculty/miranker</a>
"david i. zuckerman", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~diz'>http://www.cs.utexas.edu/~diz</a> or <a href='http://www.cs.utexas.edu/faculty/zuckerman'>http://www.cs.utexas.edu/faculty/zuckerman</a>
"david zuckerman", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~diz'>http://www.cs.utexas.edu/~diz</a>
"don batory", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/dsb'>http://www.cs.utexas.edu/users/dsb</a> or <a href='http://www.cs.utexas.edu/faculty/batory'>http://www.cs.utexas.edu/faculty/batory</a>
"donald s. fussell", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~fussell'>http://www.cs.utexas.edu/~fussell</a> or <a href='http://www.cs.utexas.edu/faculty/fussell'>http://www.cs.utexas.edu/faculty/fussell</a>
"doug burger", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~dburger'>http://www.cs.utexas.edu/~dburger</a>
"e. allen emerson", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/emerson'>http://www.cs.utexas.edu/users/emerson</a> or <a href='http://www.cs.utexas.edu/faculty/emerson'>http://www.cs.utexas.edu/faculty/emerson</a>
"elaine rich", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~ear'>http://www.cs.utexas.edu/~ear</a>
"emmett witchel", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~witchel'>http://www.cs.utexas.edu/~witchel</a> or <a href='http://www.cs.utexas.edu/faculty/witchel'>http://www.cs.utexas.edu/faculty/witchel</a>
"eric price", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/price'>http://www.cs.utexas.edu/faculty/price</a>
"etienne vouga", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/vouga'>http://www.cs.utexas.edu/faculty/vouga</a>
"glenn downing", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/downing/drupal'>http://www.cs.utexas.edu/users/downing/drupal</a>
"gordon s. novak jr.", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~novak'>http://www.cs.utexas.edu/~novak</a> or <a href='http://www.cs.utexas.edu/faculty/novak'>http://www.cs.utexas.edu/faculty/novak</a>
"greg plaxton", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~plaxton'>http://www.cs.utexas.edu/~plaxton</a>
"hanan boral", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/boral'>http://www.cs.utexas.edu/faculty/boral</a>
"haran boral", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/boral'>http://www.cs.utexas.edu/faculty/boral</a>
"harrick m. vin", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~vin'>http://www.cs.utexas.edu/~vin</a> or <a href='http://www.cs.utexas.edu/faculty/vin'>http://www.cs.utexas.edu/faculty/vin</a>
"inderjit s. dhillon", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/dhillon'>http://www.cs.utexas.edu/faculty/dhillon</a> or <a href='http://www.cs.utexas.edu/~inderjit'>http://www.cs.utexas.edu/~inderjit</a>
"isil dillig", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a>
"işil dillig", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a> or <a href='http://www.cs.utexas.edu/faculty/idillig'>http://www.cs.utexas.edu/faculty/idillig</a>
"işıl dillig", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a>
"j strother moore", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/moore'>http://www.cs.utexas.edu/faculty/moore</a> or <a href='http://www.cs.utexas.edu/~moore'>http://www.cs.utexas.edu/~moore</a>
"james c. browne", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/%7Ebrowne'>http://www.cs.utexas.edu/%7Ebrowne</a> or <a href='http://www.cs.utexas.edu/~browne'>http://www.cs.utexas.edu/~browne</a>
"jayadev misra", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/misra'>http://www.cs.utexas.edu/faculty/misra</a> or <a href='http://www.cs.utexas.edu/users/misra'>http://www.cs.utexas.edu/users/misra</a>
"jonathan mugan", "University of Texas—Austin", <a href='http://www.jonathanmugan.com'>http://www.jonathanmugan.com</a>
"keshav pingali", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/pingali'>http://www.cs.utexas.edu/faculty/pingali</a> or <a href='http://www.cs.utexas.edu/~pingali'>http://www.cs.utexas.edu/~pingali</a>
"kristen grauman", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/grauman'>http://www.cs.utexas.edu/faculty/grauman</a> or <a href='http://www.cs.utexas.edu/users/grauman'>http://www.cs.utexas.edu/users/grauman</a>
"lili qiu", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/qiu'>http://www.cs.utexas.edu/faculty/qiu</a> or <a href='http://www.cs.utexas.edu/~lili'>http://www.cs.utexas.edu/~lili</a>
"lorenzo alvisi", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/alvisi'>http://www.cs.utexas.edu/faculty/alvisi</a> or <a href='http://www.cs.utexas.edu/~lorenzo'>http://www.cs.utexas.edu/~lorenzo</a>
"maggie myers", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/myers'>http://www.cs.utexas.edu/users/myers</a>
"margaret myers", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/myers'>http://www.cs.utexas.edu/users/myers</a>
"matt kaufmann", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/kaufmann'>http://www.cs.utexas.edu/faculty/kaufmann</a> or <a href='http://www.cs.utexas.edu/~kaufmann'>http://www.cs.utexas.edu/~kaufmann</a>
"michael d. dahlin", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/dahlin'>http://www.cs.utexas.edu/faculty/dahlin</a> or <a href='http://www.cs.utexas.edu/users/dahlin'>http://www.cs.utexas.edu/users/dahlin</a>
"michael walfish", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~mwalfish'>http://www.cs.utexas.edu/~mwalfish</a>
"mike dahlin", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/dahlin'>http://www.cs.utexas.edu/users/dahlin</a>
"mike scott", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~scottm'>http://www.cs.utexas.edu/~scottm</a>
"mohamed g. gouda", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/gouda'>http://www.cs.utexas.edu/faculty/gouda</a> or <a href='http://www.cs.utexas.edu/~gouda'>http://www.cs.utexas.edu/~gouda</a>
"paul toprac", "University of Texas—Austin", <a href='http://gamedev.utexas.edu'>http://gamedev.utexas.edu</a>
"peter stone", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/stone'>http://www.cs.utexas.edu/faculty/stone</a> or <a href='http://www.cs.utexas.edu/~pstone'>http://www.cs.utexas.edu/~pstone</a>
"philip cannata", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/users/cannata'>http://www.cs.utexas.edu/users/cannata</a>
"pradeep ravikumar", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~pradeepr'>http://www.cs.utexas.edu/~pradeepr</a> or <a href='http://www.cs.utexas.edu/faculty/ravikumar'>http://www.cs.utexas.edu/faculty/ravikumar</a>
"raymond j. mooney", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~mooney'>http://www.cs.utexas.edu/~mooney</a> or <a href='http://www.cs.utexas.edu/faculty/mooney'>http://www.cs.utexas.edu/faculty/mooney</a>
"risto miikkulainen", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~risto'>http://www.cs.utexas.edu/~risto</a> or <a href='http://www.cs.utexas.edu/faculty/miikkulainen'>http://www.cs.utexas.edu/faculty/miikkulainen</a>
"robert a. van de geijn", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/van-de-geijn'>http://www.cs.utexas.edu/faculty/van-de-geijn</a> or <a href='http://www.cs.utexas.edu/~rvdg'>http://www.cs.utexas.edu/~rvdg</a>
"robert s. boyer", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~boyer'>http://www.cs.utexas.edu/~boyer</a>
"robert stephen boyer", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~boyer'>http://www.cs.utexas.edu/~boyer</a>
"shyamal mitra", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~mitra'>http://www.cs.utexas.edu/~mitra</a>
"simon s. lam", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/lam'>http://www.cs.utexas.edu/faculty/lam</a> or <a href='http://www.cs.utexas.edu/users/lam'>http://www.cs.utexas.edu/users/lam</a>
"stephen w. keckler", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~skeckler'>http://www.cs.utexas.edu/~skeckler</a>
"tandy warnow", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~tandy'>http://www.cs.utexas.edu/~tandy</a> or <a href='http://www.cs.utexas.edu/faculty/warnow'>http://www.cs.utexas.edu/faculty/warnow</a>
"thomas dillig", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/tdillig'>http://www.cs.utexas.edu/faculty/tdillig</a>
"vallath nandakumar", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~vallathn'>http://www.cs.utexas.edu/~vallathn</a>
"vijaya ramachandran", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/faculty/ramachandran'>http://www.cs.utexas.edu/faculty/ramachandran</a> or <a href='http://www.cs.utexas.edu/~vlr'>http://www.cs.utexas.edu/~vlr</a>
"vitaly shmatikov", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~shmat'>http://www.cs.utexas.edu/~shmat</a> or <a href='http://www.cs.utexas.edu/faculty/shmatikov'>http://www.cs.utexas.edu/faculty/shmatikov</a>
"vladimir lifschitz", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~vl'>http://www.cs.utexas.edu/~vl</a> or <a href='http://www.cs.utexas.edu/faculty/lifschitz'>http://www.cs.utexas.edu/faculty/lifschitz</a>
"warren a. hunt jr.", "University of Texas—Austin", <a href='http://www.cs.utexas.edu/~hunt'>http://www.cs.utexas.edu/~hunt</a> or <a href='http://www.cs.utexas.edu/faculty/hunt'>http://www.cs.utexas.edu/faculty/hunt</a>
