professor, university, urls
"donald w. loveland", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=24'>http://www.cs.duke.edu/people/faculty/?csid=24</a>
"guillermo sapiro", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3922'>http://www.cs.duke.edu/people/faculty/?csid=3922</a>
"herbert edelsbrunner", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=436'>http://www.cs.duke.edu/people/faculty/?csid=436</a>
"ilia baldine", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3567'>http://www.cs.duke.edu/people/faculty/?csid=3567</a>
"jeffrey r. n. forbes", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=565'>http://www.cs.duke.edu/people/faculty/?csid=565</a>
"jeffrey r.n. forbes", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=565'>http://www.cs.duke.edu/people/faculty/?csid=565</a>
"jeffrey s. chase", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=15'>http://www.cs.duke.edu/people/faculty/?csid=15</a>
"john a. board jr.", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=14'>http://www.cs.duke.edu/people/faculty/?csid=14</a>
"john h. reif", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=31'>http://www.cs.duke.edu/people/faculty/?csid=31</a>
"john harer", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=429'>http://www.cs.duke.edu/people/faculty/?csid=429</a>
"john pormann", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1784'>http://www.cs.duke.edu/people/faculty/?csid=1784</a>
"julian lombardi", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1607'>http://www.cs.duke.edu/people/faculty/?csid=1607</a>
"jun yang", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=918'>http://www.cs.duke.edu/people/faculty/?csid=918</a>
"jungsang kim", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3791'>http://www.cs.duke.edu/people/faculty/?csid=3791</a>
"kamesh munagala", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1459'>http://www.cs.duke.edu/people/faculty/?csid=1459</a>
"katherine heller", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=4393'>http://www.cs.duke.edu/people/faculty/?csid=4393</a>
"kishor s. trivedi", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=36'>http://www.cs.duke.edu/people/faculty/?csid=36</a>
"krishnendu chakrabarty", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3895'>http://www.cs.duke.edu/people/faculty/?csid=3895</a>
"landon cox", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=204'>http://www.cs.duke.edu/people/faculty/?csid=204</a>
"lars arge", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=9'>http://www.cs.duke.edu/people/faculty/?csid=9</a>
"lisa r. hsu", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=4396'>http://www.cs.duke.edu/people/faculty/?csid=4396</a>
"mauro maggioni", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1697'>http://www.cs.duke.edu/people/faculty/?csid=1697</a>
"merrell patrick", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=28'>http://www.cs.duke.edu/people/faculty/?csid=28</a>
"nikos pitsianis", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=440'>http://www.cs.duke.edu/people/faculty/?csid=440</a>
"owen astrachan", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=10'>http://www.cs.duke.edu/people/faculty/?csid=10</a>
"pankaj k. agarwal", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=8'>http://www.cs.duke.edu/people/faculty/?csid=8</a>
"rachael brady", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=943'>http://www.cs.duke.edu/people/faculty/?csid=943</a>
"raluca mihaela gordan", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1579'>http://www.cs.duke.edu/people/faculty/?csid=1579</a>
"raluca-mihaela gordan", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1579'>http://www.cs.duke.edu/people/faculty/?csid=1579</a>
"richard a. lucic", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=11'>http://www.cs.duke.edu/people/faculty/?csid=11</a>
"robert a. wagner", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=40'>http://www.cs.duke.edu/people/faculty/?csid=40</a>
"robert c. duvall", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=67'>http://www.cs.duke.edu/people/faculty/?csid=67</a>
"robert calderbank", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3565'>http://www.cs.duke.edu/people/faculty/?csid=3565</a>
"robert fowler", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3570'>http://www.cs.duke.edu/people/faculty/?csid=3570</a>
"robert l. bryant", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=4408'>http://www.cs.duke.edu/people/faculty/?csid=4408</a>
"romit roy choudhury", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1690'>http://www.cs.duke.edu/people/faculty/?csid=1690</a>
"ronald e. parr", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=442'>http://www.cs.duke.edu/people/faculty/?csid=442</a>
"savan mukherjee", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1606'>http://www.cs.duke.edu/people/faculty/?csid=1606</a>
"sayan mukherjee", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1606'>http://www.cs.duke.edu/people/faculty/?csid=1606</a>
"scott c. schmidler", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3790'>http://www.cs.duke.edu/people/faculty/?csid=3790</a>
"shivnath babu", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1492'>http://www.cs.duke.edu/people/faculty/?csid=1492</a>
"silvia ferrari", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3440'>http://www.cs.duke.edu/people/faculty/?csid=3440</a>
"sina farsiu", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3870'>http://www.cs.duke.edu/people/faculty/?csid=3870</a>
"susan h. rodger", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=33'>http://www.cs.duke.edu/people/faculty/?csid=33</a>
"tabitha peck", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3925'>http://www.cs.duke.edu/people/faculty/?csid=3925</a>
"theo benson", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=3930'>http://www.cs.duke.edu/people/faculty/?csid=3930</a>
"thomas gallie", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=17'>http://www.cs.duke.edu/people/faculty/?csid=17</a>
"thomas h. labean", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=431'>http://www.cs.duke.edu/people/faculty/?csid=431</a>
"thomas moelhave", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=2082'>http://www.cs.duke.edu/people/faculty/?csid=2082</a>
"timothy lenoir", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1605'>http://www.cs.duke.edu/people/faculty/?csid=1605</a>
"vincent conitzer", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=1612'>http://www.cs.duke.edu/people/faculty/?csid=1612</a>
"xiaobai sun", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=37'>http://www.cs.duke.edu/people/faculty/?csid=37</a>
"xiaowei yang", "Duke University", <a href='http://www.cs.duke.edu/people/faculty/?csid=2164'>http://www.cs.duke.edu/people/faculty/?csid=2164</a>
"adam meyers", "New York University", <a href='http://nlp.cs.nyu.edu/people/meyers.html'>http://nlp.cs.nyu.edu/people/meyers.html</a>
"adrian bors", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=adrian'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=adrian</a>
"alan burns", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=burns'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=burns</a>
"alan siegel", "New York University", <a href='http://cs.nyu.edu/cs/faculty/siegel'>http://cs.nyu.edu/cs/faculty/siegel</a>
"alexander tuzhilin", "New York University", <a href='http://people.stern.nyu.edu/atuzhili'>http://people.stern.nyu.edu/atuzhili</a>
"alistair edwards", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alistair'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alistair</a>
"allan gottlieb", "New York University", <a href='http://cs.nyu.edu/~gottlieb'>http://cs.nyu.edu/~gottlieb</a>
"amos bloomberg", "New York University", <a href='http://cs.nyu.edu/~amos'>http://cs.nyu.edu/~amos</a>
"ana cavalcanti", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alcc'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=alcc</a>
"andrew i. case", "New York University", <a href='http://cs.nyu.edu/~acase'>http://cs.nyu.edu/~acase</a>
"andy wellings", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=andy</a>
"anna bramwell-dicks", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=annab'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=annab</a>
"assaf naor", "New York University", <a href='http://math.nyu.edu/~naor'>http://math.nyu.edu/~naor</a>
"benjamin goldberg", "New York University", <a href='http://cs.nyu.edu/cs/faculty/goldberg'>http://cs.nyu.edu/cs/faculty/goldberg</a>
"bhubaneswar mishra", "New York University", <a href='http://cs.nyu.edu/cs/faculty/mishra'>http://cs.nyu.edu/cs/faculty/mishra</a>
"bud mishra", "New York University", <a href='http://cs.nyu.edu/cs/faculty/mishra'>http://cs.nyu.edu/cs/faculty/mishra</a>
"chee k. yap", "New York University", <a href='http://cs.nyu.edu/cs/faculty/yap'>http://cs.nyu.edu/cs/faculty/yap</a>
"chee yap", "New York University", <a href='http://cs.nyu.edu/cs/faculty/yap'>http://cs.nyu.edu/cs/faculty/yap</a>
"christoph bregler", "New York University", <a href='http://cs.nyu.edu/~bregler'>http://cs.nyu.edu/~bregler</a>
"christopher crispin-bailey", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=chrisb'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=chrisb</a>
"clark barrett", "New York University", <a href='http://cs.nyu.edu/~barrett'>http://cs.nyu.edu/~barrett</a>
"clark w. barrett", "New York University", <a href='http://cs.nyu.edu/~barrett'>http://cs.nyu.edu/~barrett</a>
"craig kapp", "New York University", <a href='http://cims.nyu.edu/~kapp'>http://cims.nyu.edu/~kapp</a>
"daniel franks", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=dwf'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=dwf</a>
"davi geiger", "New York University", <a href='http://cs.nyu.edu/cs/faculty/geiger'>http://cs.nyu.edu/cs/faculty/geiger</a>
"david pumfrey", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=djp'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=djp</a>
"david sontag", "New York University", <a href='http://www.cs.nyu.edu/~dsontag'>http://www.cs.nyu.edu/~dsontag</a>
"deena engel", "New York University", <a href='http://cs.nyu.edu/~deena'>http://cs.nyu.edu/~deena</a>
"denis zorin", "New York University", <a href='http://mrl.nyu.edu/~dzorin'>http://mrl.nyu.edu/~dzorin</a>
"dennis shasha", "New York University", <a href='http://cs.nyu.edu/cs/faculty/shasha'>http://cs.nyu.edu/cs/faculty/shasha</a>
"detlef plump", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=det'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=det</a>
"dimitar kazakov", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kazakov'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kazakov</a>
"dimitris kolovos", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=dkolovos'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=dkolovos</a>
"dr alan m frisch", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=frisch'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=frisch</a>
"dr alan wood", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wood</a>
"dr andrew j rae", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ajrae'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ajrae</a>
"dr christopher power", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=cpower'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=cpower</a>
"dr daniel kudenko", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko</a>
"dr fiona polack", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=fiona'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=fiona</a>
"dr jeremy l jacob", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jeremy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jeremy</a>
"dr leandro soares indrusiak", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=lsi'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=lsi</a>
"dr mark nicholson", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=mark'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=mark</a>
"dr mj freeman", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=mjf'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=mjf</a>
"dr paul cairns", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pcairns'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pcairns</a>
"dr radu calinescu", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=raduc'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=raduc</a>
"dr s king", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king</a>
"dr simon o'keefe", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=sok'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=sok</a>
"dr suresh manandhar", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=suresh'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=suresh</a>
"dr tommy yuan", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tommy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tommy</a>
"eran fishler", "New York University", <a href='http://cs.nyu.edu/~fishler'>http://cs.nyu.edu/~fishler</a>
"eric koskinen", "New York University", <a href='http://cs.nyu.edu/~ejk'>http://cs.nyu.edu/~ejk</a>
"ernest davis", "New York University", <a href='http://cs.nyu.edu/cs/faculty/davise'>http://cs.nyu.edu/cs/faculty/davise</a>
"evan korth", "New York University", <a href='http://cs.nyu.edu/~korth'>http://cs.nyu.edu/~korth</a>
"foster provost", "New York University", <a href='http://people.stern.nyu.edu/fprovost'>http://people.stern.nyu.edu/fprovost</a>
"helen nissenbaum", "New York University", <a href='http://www.nyu.edu/projects/nissenbaum'>http://www.nyu.edu/projects/nissenbaum</a>
"helen petrie", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=petrie'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=petrie</a>
"howard chivers", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=howard</a>
"iain bate", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ijb'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ijb</a>
"ibrahim habli", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ihabli'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=ihabli</a>
"james cussens", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jc'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jc</a>
"jean-claude franchitti", "New York University", <a href='http://cs.nyu.edu/~jcf/JCF'>http://cs.nyu.edu/~jcf/JCF</a>
"jiawei zhang", "New York University", <a href='http://pages.stern.nyu.edu/~jzhang'>http://pages.stern.nyu.edu/~jzhang</a>
"jinyang li", "New York University", <a href='http://www.news.cs.nyu.edu/~jinyang'>http://www.news.cs.nyu.edu/~jinyang</a>
"jinyang li 李金扬", "New York University", <a href='http://www.news.cs.nyu.edu/~jinyang'>http://www.news.cs.nyu.edu/~jinyang</a>
"joanna klukowska", "New York University", <a href='http://cs.nyu.edu/~joannakl'>http://cs.nyu.edu/~joannakl</a>
"joel spencer", "New York University", <a href='http://cs.nyu.edu/cs/faculty/spencer'>http://cs.nyu.edu/cs/faculty/spencer</a>
"john clark", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac</a>
"john mcdermid", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jam'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jam</a>
"joshua clayton", "New York University", <a href='http://cs.nyu.edu/cs/faculty/clayton'>http://cs.nyu.edu/cs/faculty/clayton</a>
"juliana freire", "New York University", <a href='http://vgc.poly.edu/~juliana'>http://vgc.poly.edu/~juliana</a>
"keith w. ross", "New York University", <a href='http://cis.poly.edu/~ross'>http://cis.poly.edu/~ross</a>
"ken perlin", "New York University", <a href='http://mrl.nyu.edu/~perlin'>http://mrl.nyu.edu/~perlin</a>
"kenneth perlin", "New York University", <a href='http://mrl.nyu.edu/~perlin'>http://mrl.nyu.edu/~perlin</a>
"lakshminarayanan subramanian", "New York University", <a href='http://cs.nyu.edu/~lakshmi/Home.html'>http://cs.nyu.edu/~lakshmi/Home.html</a>
"leslie greengard", "New York University", <a href='http://math.nyu.edu/faculty/greengar/index.html'>http://math.nyu.edu/faculty/greengar/index.html</a>
"lilian blot", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=lblot'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=lblot</a>
"lloyd n. trefethen", "New York University", <a href='http://cs.nyu.edu/cs/faculty/trefethen'>http://cs.nyu.edu/cs/faculty/trefethen</a>
"louis rose", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=louis'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=louis</a>
"manuel oriol", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=manuel'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=manuel</a>
"margaret h. wright", "New York University", <a href='http://cs.nyu.edu/mhw'>http://cs.nyu.edu/mhw</a>
"margaret wright", "New York University", <a href='http://cs.nyu.edu/mhw'>http://cs.nyu.edu/mhw</a>
"marsha berger", "New York University", <a href='http://cs.nyu.edu/~berger'>http://cs.nyu.edu/~berger</a>
"martin davis", "New York University", <a href='http://www.cs.nyu.edu/faculty/davism'>http://www.cs.nyu.edu/faculty/davism</a>
"mehryar mohri", "New York University", <a href='http://cs.nyu.edu/cs/faculty/mohri'>http://cs.nyu.edu/cs/faculty/mohri</a>
"michael l. overton", "New York University", <a href='http://cs.nyu.edu/cs/faculty/overton'>http://cs.nyu.edu/cs/faculty/overton</a>
"michael overton", "New York University", <a href='http://cs.nyu.edu/cs/faculty/overton'>http://cs.nyu.edu/cs/faculty/overton</a>
"michael walfish", "New York University", <a href='http://www.cs.utexas.edu/~mwalfish'>http://www.cs.utexas.edu/~mwalfish</a>
"mike dodds", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked</a>
"mohamed zahran", "New York University", <a href='http://www.mzahran.com'>http://www.mzahran.com</a>
"nasir memon", "New York University", <a href='http://isis.poly.edu/memon/contact.php'>http://isis.poly.edu/memon/contact.php</a>
"natalie jeremijenko", "New York University", <a href='http://steinhardt.nyu.edu/faculty_bios/view/Natalie_Jeremijenko'>http://steinhardt.nyu.edu/faculty_bios/view/Natalie_Jeremijenko</a>
"nathan hull", "New York University", <a href='http://cs.nyu.edu/cs/faculty/hull/Welcome.html'>http://cs.nyu.edu/cs/faculty/hull/Welcome.html</a>
"nathaniel daw", "New York University", <a href='http://psych.nyu.edu/daw'>http://psych.nyu.edu/daw</a>
"nick pears", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=nep'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=nep</a>
"nick trefethen", "New York University", <a href='http://cs.nyu.edu/cs/faculty/trefethen'>http://cs.nyu.edu/cs/faculty/trefethen</a>
"o lisagor", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=oleg'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=oleg</a>
"oded regev", "New York University", <a href='http://www.cims.nyu.edu/~regev'>http://www.cims.nyu.edu/~regev</a>
"olof b. widlund", "New York University", <a href='http://cs.nyu.edu/cs/faculty/widlund'>http://cs.nyu.edu/cs/faculty/widlund</a>
"olof widlund", "New York University", <a href='http://cs.nyu.edu/cs/faculty/widlund'>http://cs.nyu.edu/cs/faculty/widlund</a>
"panayotis mavromatis", "New York University", <a href='http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis'>http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis</a>
"panos ipeirotis", "New York University", <a href='http://pages.stern.nyu.edu/~panos'>http://pages.stern.nyu.edu/~panos</a>
"patrick cousot", "New York University", <a href='http://cs.nyu.edu/~pcousot'>http://cs.nyu.edu/~pcousot</a>
"paul m. horn", "New York University", <a href='http://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/research-engineering-technology/bios/paul-horn.html'>http://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/research-engineering-technology/bios/paul-horn.html</a>
"peter cowling", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pic'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pic</a>
"prof colin runciman", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=colin'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=colin</a>
"prof edwin hancock", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=erh'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=erh</a>
"prof jim austin", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=austin'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=austin</a>
"prof jim woodcock", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jim'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jim</a>
"prof nc audsley", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil</a>
"prof sl braunstein", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=schmuel'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=schmuel</a>
"ralph grishman", "New York University", <a href='http://cs.nyu.edu/cs/faculty/grishman'>http://cs.nyu.edu/cs/faculty/grishman</a>
"richard bonneau", "New York University", <a href='http://files.nyu.edu/rb133/public'>http://files.nyu.edu/rb133/public</a> or <a href='http://bonneaulab.bio.nyu.edu'>http://bonneaulab.bio.nyu.edu</a>
"richard cole", "New York University", <a href='http://cs.nyu.edu/cs/faculty/cole'>http://cs.nyu.edu/cs/faculty/cole</a>
"richard jones", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rjw'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rjw</a>
"richard paige", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige</a>
"richard wilson", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wilson'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wilson</a>
"rob alexander", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rda'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rda</a>
"rob fergus", "New York University", <a href='http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php'>http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php</a>
"robert grimm", "New York University", <a href='http://cs.nyu.edu/~rgrimm'>http://cs.nyu.edu/~rgrimm</a>
"ryan montague", "New York University", <a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rgm'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rgm</a>
